year,month,date,site,transect,replicate,size_mm,num_ao,area
2012,8,8/20/12,ivee,3,A,70,0,300
2012,8,8/20/12,ivee,3,B,60,0,300
2012,8,8/20/12,ivee,3,B,65,0,300
2012,8,8/20/12,ivee,3,B,70,0,300
2012,8,8/20/12,ivee,3,B,85,0,300
2012,8,8/20/12,ivee,3,C,60,0,300
2012,8,8/20/12,ivee,3,C,65,0,300
2012,8,8/20/12,ivee,3,C,67,0,300
2012,8,8/20/12,ivee,3,D,70,0,300
2012,8,8/20/12,ivee,4,B,85,0,300
2012,8,8/20/12,ivee,5,A,52,0,300
2012,8,8/20/12,ivee,5,A,60,0,300
2012,8,8/20/12,ivee,5,A,64,0,300
2012,8,8/20/12,ivee,5,A,70,0,300
2012,8,8/20/12,ivee,5,B,58,0,300
2012,8,8/20/12,ivee,5,B,60,0,300
2012,8,8/20/12,ivee,5,B,60,0,300
2012,8,8/20/12,ivee,5,B,62,0,300
2012,8,8/20/12,ivee,5,B,86,0,300
2012,8,8/20/12,ivee,5,B,105,0,300
2012,8,8/20/12,ivee,6,B,57,0,300
2012,8,8/20/12,ivee,6,B,60,0,300
2012,8,8/20/12,ivee,7,D,53,0,300
2012,8,8/20/12,ivee,7,D,56,0,300
2012,8,8/20/12,ivee,8,D,58,0,300
2012,8,8/20/12,ivee,8,D,60,0,300
2012,8,8/22/12,napl,1,D,83,0,300
2012,8,8/22/12,napl,2,B,75,0,300
2012,8,8/22/12,napl,3,B,60,0,300
2012,8,8/22/12,napl,3,B,65,0,300
2012,8,8/22/12,napl,3,B,65,0,300
2012,8,8/22/12,napl,5,D,90,0,300
2012,8,8/24/12,aque,1,C,55,0,300
2012,8,8/24/12,aque,1,D,58,0,300
2012,8,8/24/12,aque,1,D,63,0,300
2012,8,8/24/12,aque,1,D,70,0,300
2012,8,8/24/12,aque,1,D,75,0,300
2012,8,8/24/12,aque,2,A,72,0,300
2012,8,8/24/12,aque,2,B,57,0,300
2012,8,8/24/12,aque,2,B,60,0,300
2012,8,8/24/12,aque,2,B,62,0,300
2012,8,8/24/12,aque,2,B,64,0,300
2012,8,8/24/12,aque,2,B,66,0,300
2012,8,8/24/12,aque,2,B,85,0,300
2012,8,8/24/12,aque,2,C,60,0,300
