YEAR,MONTH,DATE,SITE,TRANSECT,QUAD,SIDE,SUBSTRATE_TYPE,PERCENT_COVER
2000,9,9/8/00,CARP,1,20,I,B,100
2000,9,9/8/00,CARP,1,20,O,B,100
2000,9,9/8/00,CARP,1,40,I,B,100
2000,9,9/8/00,CARP,1,40,O,B,100
2000,9,9/8/00,CARP,2,20,I,B,90
2000,9,9/8/00,CARP,2,20,O,B,80
2000,9,9/8/00,CARP,2,40,I,B,80
2000,9,9/8/00,CARP,2,40,O,B,85
2000,9,9/8/00,CARP,3,20,I,B,85
2000,9,9/8/00,CARP,3,20,O,B,85
2000,9,9/8/00,CARP,3,40,I,B,95
2000,9,9/8/00,CARP,3,40,O,B,100
2000,9,9/8/00,CARP,4,20,I,B,15
2000,9,9/8/00,CARP,4,20,O,B,100
2000,9,9/8/00,CARP,4,40,I,B,65
2000,9,9/8/00,CARP,4,40,O,B,40
2000,9,9/8/00,CARP,5,20,I,B,90
2000,9,9/8/00,CARP,5,20,O,B,85
2000,9,9/8/00,CARP,5,40,I,B,95
2000,9,9/8/00,CARP,5,40,O,B,80
2000,9,9/8/00,CARP,6,20,I,B,100
2000,9,9/8/00,CARP,6,20,O,B,100
2000,9,9/8/00,CARP,6,40,I,B,90
2000,9,9/8/00,CARP,6,40,O,B,90
2000,9,9/8/00,CARP,7,20,I,B,100
2000,9,9/8/00,CARP,7,20,O,B,55
2000,9,9/8/00,CARP,7,40,I,B,65
2000,9,9/8/00,CARP,7,40,O,B,40
2000,9,9/8/00,CARP,8,20,I,B,80
2000,9,9/8/00,CARP,8,20,O,B,95
2000,9,9/8/00,CARP,8,40,I,B,85
2000,9,9/8/00,CARP,8,40,O,B,95
2000,9,9/18/00,NAPL,1,20,I,B,95
2000,9,9/18/00,NAPL,1,20,O,B,100
2000,9,9/18/00,NAPL,1,40,I,B,100
2000,9,9/18/00,NAPL,1,40,O,B,85
2000,9,9/18/00,NAPL,2,20,I,B,100
2000,9,9/18/00,NAPL,2,20,O,B,100
2000,9,9/18/00,NAPL,2,40,I,B,100
2000,9,9/18/00,NAPL,2,40,O,B,100
2000,9,9/18/00,NAPL,3,20,I,B,100
2000,9,9/18/00,NAPL,3,20,O,B,95
2000,9,9/18/00,NAPL,3,40,I,B,100
2000,9,9/18/00,NAPL,3,40,O,B,100
2000,9,9/18/00,NAPL,4,20,I,B,5
2000,9,9/18/00,NAPL,4,20,O,B,0
2000,9,9/18/00,NAPL,4,40,I,B,20
2000,9,9/18/00,NAPL,4,40,O,B,15
2000,9,9/22/00,NAPL,5,20,I,B,100
2000,9,9/22/00,NAPL,5,20,O,B,100
2000,9,9/22/00,NAPL,5,40,I,B,100
2000,9,9/22/00,NAPL,5,40,O,B,95
2000,9,9/22/00,NAPL,6,20,I,B,95
2000,9,9/22/00,NAPL,6,20,O,B,95
2000,9,9/22/00,NAPL,6,40,I,B,90
